call_id,issue_type,call_duration_seconds,duration_ratio,num_turns,transcript_text,csat_score,csat_range,resolution_status,repeat_contact,emotional_arc
1690,complaint,395,0.81,36,Turn 1: CUSTOMER: my issue is still not fixed | Turn 2: AGENT: is there anything else | Turn 3: CUSTOMER: I waited so long | Turn 4: AGENT: I appreciate your patience | Turn 5: CUSTOMER: this keeps happening | Turn 6: AGENT: I will escalate this | Turn 7: CUSTOMER: finally someone answered | Turn 8: AGENT: this should work now | Turn 9: CUSTOMER: still confused | Turn 10: AGENT: we will fix this | Turn 11: CUSTOMER: this is annoying honestly | Turn 12: AGENT: is there anything else | Turn 13: CUSTOMER: I need this resolved today | Turn 14: AGENT: we will fix this | Turn 15: CUSTOMER: this is taking too long | Turn 16: AGENT: we will fix this | Turn 17: CUSTOMER: I am not happy with the service | Turn 18: AGENT: we will fix this | Turn 19: CUSTOMER: still confused | Turn 20: AGENT: let me verify your details | Turn 21: CUSTOMER: this should not happen | Turn 22: AGENT: we will fix this | Turn 23: CUSTOMER: this makes no sense | Turn 24: AGENT: is there anything else | Turn 25: CUSTOMER: finally someone answered | Turn 26: AGENT: happy to resolve this | Turn 27: CUSTOMER: this keeps happening | Turn 28: AGENT: I will escalate this | Turn 29: CUSTOMER: nothing is working | Turn 30: AGENT: sorry for the trouble | Turn 31: CUSTOMER: this is taking too long | Turn 32: AGENT: I am looking into your issue | Turn 33: CUSTOMER: this makes no sense | Turn 34: AGENT: we are working on it | Turn 35: CUSTOMER: I am not happy with the service | Turn 36: AGENT: please hold for a moment,4,high,resolved,no,fall
858,subscription,528,1.04,49,Turn 1: CUSTOMER: finally someone answered | Turn 2: AGENT: please hold for a moment | Turn 3: CUSTOMER: this makes no sense | Turn 4: AGENT: let me check that for you | Turn 5: CUSTOMER: okay that helps | Turn 6: AGENT: I will resolve this for you | Turn 7: CUSTOMER: third time calling | Turn 8: AGENT: please hold for a moment | Turn 9: CUSTOMER: I already tried that | Turn 10: AGENT: I understand your frustration | Turn 11: CUSTOMER: this should not happen | Turn 12: AGENT: thanks for waiting | Turn 13: CUSTOMER: third time calling | Turn 14: AGENT: I appreciate your patience | Turn 15: CUSTOMER: I am not happy with the service | Turn 16: AGENT: please hold for a moment | Turn 17: CUSTOMER: thanks that solved it | Turn 18: AGENT: glad to help | Turn 19: CUSTOMER: I called yesterday also | Turn 20: AGENT: we will fix this | Turn 21: CUSTOMER: I already tried that | Turn 22: AGENT: glad to help | Turn 23: CUSTOMER: I already tried that | Turn 24: AGENT: thank you for your patience | Turn 25: CUSTOMER: okay that helps | Turn 26: AGENT: I completely understand | Turn 27: CUSTOMER: can you please help me | Turn 28: AGENT: let me verify your details | Turn 29: CUSTOMER: why is this happening again | Turn 30: AGENT: we are working on it | Turn 31: CUSTOMER: this should not happen | Turn 32: AGENT: let me verify your details | Turn 33: CUSTOMER: this should not happen | Turn 34: AGENT: happy to resolve this | Turn 35: CUSTOMER: my issue is still not fixed | Turn 36: AGENT: I will escalate this | Turn 37: CUSTOMER: really appreciate your help | Turn 38: AGENT: is there anything else | Turn 39: CUSTOMER: why is this happening again | Turn 40: AGENT: let me verify your details | Turn 41: CUSTOMER: please check again | Turn 42: AGENT: I am looking into your issue | Turn 43: CUSTOMER: please check again | Turn 44: AGENT: I will resolve this for you | Turn 45: CUSTOMER: nothing is working | Turn 46: AGENT: I can help you with that | Turn 47: CUSTOMER: I waited so long | Turn 48: AGENT: this should work now | Turn 49: CUSTOMER: this should not happen,2,low,unresolved,yes,fall
1088,subscription,662,1.31,34,Turn 1: CUSTOMER: I already tried that | Turn 2: AGENT: I completely understand | Turn 3: CUSTOMER: thanks for the support | Turn 4: AGENT: this should work now | Turn 5: CUSTOMER: please check again | Turn 6: AGENT: I will escalate this | Turn 7: CUSTOMER: okay that helps | Turn 8: AGENT: I will escalate this | Turn 9: CUSTOMER: third time calling | Turn 10: AGENT: I appreciate your patience | Turn 11: CUSTOMER: still confused | Turn 12: AGENT: please hold for a moment | Turn 13: CUSTOMER: I don't understand the problem | Turn 14: AGENT: we will fix this | Turn 15: CUSTOMER: I called yesterday also | Turn 16: AGENT: I apologize for the inconvenience | Turn 17: CUSTOMER: this makes no sense | Turn 18: AGENT: I understand your frustration | Turn 19: CUSTOMER: I need this resolved today | Turn 20: AGENT: I understand your frustration | Turn 21: CUSTOMER: finally someone answered | Turn 22: AGENT: glad to help | Turn 23: CUSTOMER: nothing is working | Turn 24: AGENT: we are working on it | Turn 25: CUSTOMER: this is really frustrating | Turn 26: AGENT: I will escalate this | Turn 27: CUSTOMER: I am getting upset now | Turn 28: AGENT: I am looking into your issue | Turn 29: CUSTOMER: I called yesterday also | Turn 30: AGENT: this should work now | Turn 31: CUSTOMER: this keeps happening | Turn 32: AGENT: we are working on it | Turn 33: CUSTOMER: third time calling | Turn 34: AGENT: your issue is important to us,1,low,unresolved,yes,v_shape
2209,login,285,0.71,28,Turn 1: CUSTOMER: this is annoying honestly | Turn 2: AGENT: this should work now | Turn 3: CUSTOMER: thanks for the support | Turn 4: AGENT: thank you for your patience | Turn 5: CUSTOMER: third time calling | Turn 6: AGENT: your issue is important to us | Turn 7: CUSTOMER: this keeps happening | Turn 8: AGENT: thanks for waiting | Turn 9: CUSTOMER: I called yesterday also | Turn 10: AGENT: thanks for waiting | Turn 11: CUSTOMER: this is really frustrating | Turn 12: AGENT: thank you for your patience | Turn 13: CUSTOMER: this should not happen | Turn 14: AGENT: we are working on it | Turn 15: CUSTOMER: this keeps happening | Turn 16: AGENT: I am looking into your issue | Turn 17: CUSTOMER: this is really frustrating | Turn 18: AGENT: your issue is important to us | Turn 19: CUSTOMER: still confused | Turn 20: AGENT: glad to help | Turn 21: CUSTOMER: this is annoying honestly | Turn 22: AGENT: I apologize for the inconvenience | Turn 23: CUSTOMER: really appreciate your help | Turn 24: AGENT: I appreciate your patience | Turn 25: CUSTOMER: why is this happening again | Turn 26: AGENT: I will resolve this for you | Turn 27: CUSTOMER: can you please help me | Turn 28: AGENT: I will escalate this,4,high,resolved,no,rise
1956,delivery,500,1.0,31,Turn 1: CUSTOMER: nothing is working | Turn 2: AGENT: I understand your frustration | Turn 3: CUSTOMER: still confused | Turn 4: AGENT: we are working on it | Turn 5: CUSTOMER: can you please help me | Turn 6: AGENT: glad to help | Turn 7: CUSTOMER: this is annoying honestly | Turn 8: AGENT: your issue is important to us | Turn 9: CUSTOMER: thanks for the support | Turn 10: AGENT: I am looking into your issue | Turn 11: CUSTOMER: third time calling | Turn 12: AGENT: I will escalate this | Turn 13: CUSTOMER: third time calling | Turn 14: AGENT: we are working on it | Turn 15: CUSTOMER: this is taking too long | Turn 16: AGENT: I understand your frustration | Turn 17: CUSTOMER: this is annoying honestly | Turn 18: AGENT: thank you for your patience | Turn 19: CUSTOMER: I called yesterday also | Turn 20: AGENT: thank you for your patience | Turn 21: CUSTOMER: I called yesterday also | Turn 22: AGENT: sorry for the trouble | Turn 23: CUSTOMER: third time calling | Turn 24: AGENT: let me check that for you | Turn 25: CUSTOMER: this should not happen | Turn 26: AGENT: we will fix this | Turn 27: CUSTOMER: this makes no sense | Turn 28: AGENT: is there anything else | Turn 29: CUSTOMER: I need this resolved today | Turn 30: AGENT: is there anything else | Turn 31: CUSTOMER: I called yesterday also,2,low,unresolved,no,v_shape
1333,account,282,0.67,30,Turn 1: CUSTOMER: can you please help me | Turn 2: AGENT: I can help you with that | Turn 3: CUSTOMER: I am not happy with the service | Turn 4: AGENT: thank you for calling | Turn 5: CUSTOMER: thanks that solved it | Turn 6: AGENT: I understand your frustration | Turn 7: CUSTOMER: this is taking too long | Turn 8: AGENT: let me verify your details | Turn 9: CUSTOMER: why is this happening again | Turn 10: AGENT: I appreciate your patience | Turn 11: CUSTOMER: I called yesterday also | Turn 12: AGENT: I understand your frustration | Turn 13: CUSTOMER: really appreciate your help | Turn 14: AGENT: let me check that for you | Turn 15: CUSTOMER: I am not happy with the service | Turn 16: AGENT: I will escalate this | Turn 17: CUSTOMER: I need this resolved today | Turn 18: AGENT: I apologize for the inconvenience | Turn 19: CUSTOMER: why is this happening again | Turn 20: AGENT: I appreciate your patience | Turn 21: CUSTOMER: finally someone answered | Turn 22: AGENT: I understand your frustration | Turn 23: CUSTOMER: really appreciate your help | Turn 24: AGENT: I am looking into your issue | Turn 25: CUSTOMER: thanks that solved it | Turn 26: AGENT: your issue is important to us | Turn 27: CUSTOMER: my issue is still not fixed | Turn 28: AGENT: thank you for your patience | Turn 29: CUSTOMER: this keeps happening | Turn 30: AGENT: I will resolve this for you,5,high,resolved,no,rise
401,billing,540,1.1,36,Turn 1: CUSTOMER: I don't understand the problem | Turn 2: AGENT: we are working on it | Turn 3: CUSTOMER: thanks for the support | Turn 4: AGENT: happy to resolve this | Turn 5: CUSTOMER: nothing is working | Turn 6: AGENT: this should work now | Turn 7: CUSTOMER: thanks for the support | Turn 8: AGENT: glad to help | Turn 9: CUSTOMER: finally someone answered | Turn 10: AGENT: I appreciate your patience | Turn 11: CUSTOMER: can you please help me | Turn 12: AGENT: thank you for your patience | Turn 13: CUSTOMER: this should not happen | Turn 14: AGENT: let me check that for you | Turn 15: CUSTOMER: I waited so long | Turn 16: AGENT: glad to help | Turn 17: CUSTOMER: okay that helps | Turn 18: AGENT: I completely understand | Turn 19: CUSTOMER: this is really frustrating | Turn 20: AGENT: this should work now | Turn 21: CUSTOMER: this is really frustrating | Turn 22: AGENT: happy to resolve this | Turn 23: CUSTOMER: my issue is still not fixed | Turn 24: AGENT: I apologize for the inconvenience | Turn 25: CUSTOMER: thanks for the support | Turn 26: AGENT: happy to resolve this | Turn 27: CUSTOMER: please check again | Turn 28: AGENT: I will escalate this | Turn 29: CUSTOMER: I don't understand the problem | Turn 30: AGENT: I can help you with that | Turn 31: CUSTOMER: this should not happen | Turn 32: AGENT: I will escalate this | Turn 33: CUSTOMER: finally someone answered | Turn 34: AGENT: thank you for your patience | Turn 35: CUSTOMER: please check again | Turn 36: AGENT: I will escalate this,1,low,unresolved,yes,rise
615,network,276,0.69,49,Turn 1: CUSTOMER: this is really frustrating | Turn 2: AGENT: I will escalate this | Turn 3: CUSTOMER: thanks that solved it | Turn 4: AGENT: we are working on it | Turn 5: CUSTOMER: this is annoying honestly | Turn 6: AGENT: happy to resolve this | Turn 7: CUSTOMER: okay that helps | Turn 8: AGENT: thanks for waiting | Turn 9: CUSTOMER: really appreciate your help | Turn 10: AGENT: we will fix this | Turn 11: CUSTOMER: really appreciate your help | Turn 12: AGENT: your issue is important to us | Turn 13: CUSTOMER: really appreciate your help | Turn 14: AGENT: I appreciate your patience | Turn 15: CUSTOMER: okay that helps | Turn 16: AGENT: I can help you with that | Turn 17: CUSTOMER: I am getting upset now | Turn 18: AGENT: I completely understand | Turn 19: CUSTOMER: nothing is working | Turn 20: AGENT: I will resolve this for you | Turn 21: CUSTOMER: this is really frustrating | Turn 22: AGENT: thank you for calling | Turn 23: CUSTOMER: I already tried that | Turn 24: AGENT: let me check that for you | Turn 25: CUSTOMER: thanks that solved it | Turn 26: AGENT: your issue is important to us | Turn 27: CUSTOMER: I already tried that | Turn 28: AGENT: I am looking into your issue | Turn 29: CUSTOMER: why is this happening again | Turn 30: AGENT: I completely understand | Turn 31: CUSTOMER: nothing is working | Turn 32: AGENT: I appreciate your patience | Turn 33: CUSTOMER: thanks that solved it | Turn 34: AGENT: thank you for your patience | Turn 35: CUSTOMER: this makes no sense | Turn 36: AGENT: thanks for waiting | Turn 37: CUSTOMER: thanks that solved it | Turn 38: AGENT: is there anything else | Turn 39: CUSTOMER: third time calling | Turn 40: AGENT: I completely understand | Turn 41: CUSTOMER: I am getting upset now | Turn 42: AGENT: I understand your frustration | Turn 43: CUSTOMER: this makes no sense | Turn 44: AGENT: we will fix this | Turn 45: CUSTOMER: I don't understand the problem | Turn 46: AGENT: this should work now | Turn 47: CUSTOMER: my issue is still not fixed | Turn 48: AGENT: please hold for a moment | Turn 49: CUSTOMER: can you please help me,4,high,resolved,no,flat
1776,delivery,303,0.6,47,Turn 1: CUSTOMER: I am not happy with the service | Turn 2: AGENT: we will fix this | Turn 3: CUSTOMER: I am not happy with the service | Turn 4: AGENT: let me check that for you | Turn 5: CUSTOMER: still confused | Turn 6: AGENT: happy to resolve this | Turn 7: CUSTOMER: okay that helps | Turn 8: AGENT: your issue is important to us | Turn 9: CUSTOMER: really appreciate your help | Turn 10: AGENT: I am looking into your issue | Turn 11: CUSTOMER: nothing is working | Turn 12: AGENT: I completely understand | Turn 13: CUSTOMER: this should not happen | Turn 14: AGENT: we will fix this | Turn 15: CUSTOMER: nothing is working | Turn 16: AGENT: sorry for the trouble | Turn 17: CUSTOMER: this makes no sense | Turn 18: AGENT: thank you for your patience | Turn 19: CUSTOMER: why is this happening again | Turn 20: AGENT: I apologize for the inconvenience | Turn 21: CUSTOMER: please check again | Turn 22: AGENT: let me verify your details | Turn 23: CUSTOMER: this is really frustrating | Turn 24: AGENT: we are working on it | Turn 25: CUSTOMER: this is really frustrating | Turn 26: AGENT: I understand your frustration | Turn 27: CUSTOMER: can you please help me | Turn 28: AGENT: we are working on it | Turn 29: CUSTOMER: I already tried that | Turn 30: AGENT: this should work now | Turn 31: CUSTOMER: I called yesterday also | Turn 32: AGENT: sorry for the trouble | Turn 33: CUSTOMER: still confused | Turn 34: AGENT: thank you for your patience | Turn 35: CUSTOMER: I don't understand the problem | Turn 36: AGENT: I understand your frustration | Turn 37: CUSTOMER: this is really frustrating | Turn 38: AGENT: thank you for calling | Turn 39: CUSTOMER: I already tried that | Turn 40: AGENT: sorry for the trouble | Turn 41: CUSTOMER: really appreciate your help | Turn 42: AGENT: thank you for your patience | Turn 43: CUSTOMER: I am getting upset now | Turn 44: AGENT: I apologize for the inconvenience | Turn 45: CUSTOMER: please check again | Turn 46: AGENT: I understand your frustration | Turn 47: CUSTOMER: I don't understand the problem,4,high,resolved,no,v_shape
1851,billing,336,0.69,31,Turn 1: CUSTOMER: I am not happy with the service | Turn 2: AGENT: I apologize for the inconvenience | Turn 3: CUSTOMER: I don't understand the problem | Turn 4: AGENT: let me verify your details | Turn 5: CUSTOMER: still confused | Turn 6: AGENT: your issue is important to us | Turn 7: CUSTOMER: I already tried that | Turn 8: AGENT: I will resolve this for you | Turn 9: CUSTOMER: my issue is still not fixed | Turn 10: AGENT: I am looking into your issue | Turn 11: CUSTOMER: I am getting upset now | Turn 12: AGENT: we will fix this | Turn 13: CUSTOMER: third time calling | Turn 14: AGENT: thank you for your patience | Turn 15: CUSTOMER: I called yesterday also | Turn 16: AGENT: please hold for a moment | Turn 17: CUSTOMER: thanks that solved it | Turn 18: AGENT: thanks for waiting | Turn 19: CUSTOMER: I waited so long | Turn 20: AGENT: thank you for your patience | Turn 21: CUSTOMER: I need this resolved today | Turn 22: AGENT: is there anything else | Turn 23: CUSTOMER: can you please help me | Turn 24: AGENT: is there anything else | Turn 25: CUSTOMER: I called yesterday also | Turn 26: AGENT: sorry for the trouble | Turn 27: CUSTOMER: third time calling | Turn 28: AGENT: I can help you with that | Turn 29: CUSTOMER: this is taking too long | Turn 30: AGENT: I am looking into your issue | Turn 31: CUSTOMER: this makes no sense,4,high,resolved,no,flat
